action_to_code_multiple_choice_answer_choice_id ,action_to_code_multiple_choice_id    ,coding_block_id ,is_correct
                                              1 ,f8d41eef-65b0-40ef-b98a-f21dadfc6342 ,             66 ,true
                                              2 ,f8d41eef-65b0-40ef-b98a-f21dadfc6342 ,             67 ,false
                                              3 ,f8d41eef-65b0-40ef-b98a-f21dadfc6342 ,             68 ,false
                                              4 ,fca32f5f-066c-4d53-8bbd-9fadaf32426d ,             73 ,true
                                              5 ,fca32f5f-066c-4d53-8bbd-9fadaf32426d ,             74 ,false
                                              6 ,fca32f5f-066c-4d53-8bbd-9fadaf32426d ,             75 ,false
                                              7 ,83485b07-2714-4e70-945e-a13c4f3d2a38 ,             87 ,true
                                              8 ,83485b07-2714-4e70-945e-a13c4f3d2a38 ,             88 ,false
                                              9 ,83485b07-2714-4e70-945e-a13c4f3d2a38 ,             89 ,false
                                             10 ,4535deac-4531-47d4-a52b-bfe74be7fcb7 ,            108 ,true
                                             11 ,4535deac-4531-47d4-a52b-bfe74be7fcb7 ,            109 ,false
                                             12 ,4535deac-4531-47d4-a52b-bfe74be7fcb7 ,            110 ,false
                                             13 ,9688fcf2-04ba-4d43-bffa-883aec46b582 ,            111 ,true
                                             14 ,9688fcf2-04ba-4d43-bffa-883aec46b582 ,            112 ,false
                                             15 ,9688fcf2-04ba-4d43-bffa-883aec46b582 ,             36 ,false
