activity_id ,lesson_name ,activity_type ,activity_name, uuid
          1 ,LED         ,Reading       ,Intro to LEDs, cec7befb-140c-4624-a30e-d4a8a3a43da1
          2 ,LED         ,Reading       ,Voltage, 476d0254-42a2-4ced-b204-9217917025bb
          3 ,LED         ,Reading       ,RGB LEDs, c6266a71-b649-4315-a677-5379d3630bd1
          4 ,LED         ,Reading       ,Intro to code, 590fac9e-f6d3-4613-b7ad-0b64c93347e0
          5 ,LED         ,Code          ,LED Control, 961cb3e8-7a7d-4560-a56e-32f2b84e4eb3
          6 ,LED         ,Reading       ,LEDs and Loops, a4996406-1fd8-4417-b2a5-5dd9092e65d7
          7 ,LED         ,Code          ,Breathing LEDs, 16a2f9d2-44e1-4c50-9243-2c975c152fab
          8 ,LED         ,Reading       ,LED Advantages, 0e79f516-059d-48c8-a715-af3c761af21f
          9 ,LED         ,Reading       ,LEDs in Robotics, 4f57e13b-4fdd-43a1-931c-6dde227399e2
         10 ,LED         ,Code          ,Warehouse Pip, 2d11534f-802c-470b-8ace-40e22b7b56ab
         11 ,LED         ,Summary       ,LED Summary, f72351b1-8aa9-4803-a962-0b6cc8b77ce4
