block_to_function_answer_choice_id ,block_to_function_flashcard_id       ,function_description_text                                                                                    ,is_correct
                                 1 ,0fb9aff7-7e8e-469e-9f9b-3e49e9afb7f7 ,Turn my LEDs red                                                                                             ,true
                                 2 ,0fb9aff7-7e8e-469e-9f9b-3e49e9afb7f7 ,Play the tone D                                                                                              ,false
                                 3 ,0fb9aff7-7e8e-469e-9f9b-3e49e9afb7f7 ,Check if I'm standing on a green surface                                                                     ,false
                                 4 ,ccc46da7-9eea-4947-8609-c81569c08bc1 ,Turn my LEDs green                                                                                           ,true
                                 5 ,ccc46da7-9eea-4947-8609-c81569c08bc1 ,Check if I'm standing on a blue surface                                                                      ,false
                                 6 ,ccc46da7-9eea-4947-8609-c81569c08bc1 ,Turns off my LEDs                                                                                            ,false
                                 7 ,338b61e7-0620-41ea-97f3-472620680606 ,Play the tone E                                                                                              ,false
                                 8 ,338b61e7-0620-41ea-97f3-472620680606 ,Check if I'm standing on a white surface                                                                     ,false
                                 9 ,338b61e7-0620-41ea-97f3-472620680606 ,Turn my LEDs blue                                                                                            ,true
                                10 ,b9b86255-a734-4580-8985-e79ba9abee6e ,Turn my LEDs blue                                                                                            ,false
                                11 ,b9b86255-a734-4580-8985-e79ba9abee6e ,Turn my LEDs green                                                                                           ,false
                                12 ,b9b86255-a734-4580-8985-e79ba9abee6e ,Turn my LEDs white                                                                                           ,true
                                13 ,9b436da3-a09f-4df0-9d96-627a6066ca96 ,Turn my LEDs off                                                                                             ,true
                                14 ,9b436da3-a09f-4df0-9d96-627a6066ca96 ,Turn my LEDs blue                                                                                            ,false
                                15 ,9b436da3-a09f-4df0-9d96-627a6066ca96 ,Play the tone F                                                                                              ,false
                                16 ,08204fb8-bad0-468e-91cf-49226a896518 ,Turn my LEDs red                                                                                             ,false
                                17 ,08204fb8-bad0-468e-91cf-49226a896518 ,Check if I'm standing on a red surface                                                                       ,true
                                18 ,08204fb8-bad0-468e-91cf-49226a896518 ,Play the tone C                                                                                              ,false
                                19 ,2f3a54b1-9a11-44ad-9489-e39d24d41449 ,Check if I'm standing on a green surface                                                                     ,true
                                20 ,2f3a54b1-9a11-44ad-9489-e39d24d41449 ,Play the tone B                                                                                              ,false
                                21 ,2f3a54b1-9a11-44ad-9489-e39d24d41449 ,Play the tone A                                                                                              ,false
                                22 ,09866ff9-47b3-4d0e-afb8-e2ff3fbffb34 ,Play the tone D                                                                                              ,false
                                23 ,09866ff9-47b3-4d0e-afb8-e2ff3fbffb34 ,Turn my LEDs green                                                                                           ,false
                                24 ,09866ff9-47b3-4d0e-afb8-e2ff3fbffb34 ,Check if I'm standing on a blue surface                                                                      ,true
                                25 ,51491e09-0d1d-4aa2-83a0-858907cefeda ,Check if I'm standing on a white surface                                                                     ,true
                                26 ,51491e09-0d1d-4aa2-83a0-858907cefeda ,Check if I'm standing on a blue surface                                                                      ,false
                                27 ,51491e09-0d1d-4aa2-83a0-858907cefeda ,Check if I'm standing on a red surface                                                                       ,false
                                28 ,a1fc025d-7868-42a5-b56e-bb8ad97c82e7 ,Turn my LEDs pink                                                                                            ,false
                                29 ,a1fc025d-7868-42a5-b56e-bb8ad97c82e7 ,Play the tone A                                                                                              ,true
                                30 ,a1fc025d-7868-42a5-b56e-bb8ad97c82e7 ,Play the tone G                                                                                              ,false
                                31 ,ab5a798e-0220-47fa-a84c-7bc15cc6fae9 ,Play the tone B                                                                                              ,true
                                32 ,ab5a798e-0220-47fa-a84c-7bc15cc6fae9 ,Turn my LEDs green                                                                                           ,false
                                33 ,ab5a798e-0220-47fa-a84c-7bc15cc6fae9 ,Turn my LEDs off                                                                                             ,false
                                34 ,56621cfd-1721-42a2-b093-567284472889 ,Turn my LEDs red                                                                                             ,false
                                35 ,56621cfd-1721-42a2-b093-567284472889 ,Check if I'm standing on a white surface                                                                     ,false
                                36 ,56621cfd-1721-42a2-b093-567284472889 ,Play the tone C                                                                                              ,true
                                37 ,7deff7d7-e66c-4c36-ad77-f1dbf2958a60 ,Play the tone D                                                                                              ,true
                                38 ,7deff7d7-e66c-4c36-ad77-f1dbf2958a60 ,Play the tone B                                                                                              ,false
                                39 ,7deff7d7-e66c-4c36-ad77-f1dbf2958a60 ,Turn my LEDs off                                                                                             ,false
                                40 ,cd8fbb6f-1c4e-435f-a9f1-470a10d7e41d ,Play the tone E                                                                                              ,true
                                41 ,cd8fbb6f-1c4e-435f-a9f1-470a10d7e41d ,Play the tone A                                                                                              ,false
                                42 ,cd8fbb6f-1c4e-435f-a9f1-470a10d7e41d ,Play the tone C                                                                                              ,false
                                43 ,19f0dd98-1fda-45df-872e-c34954ad0561 ,Turn my LEDs red                                                                                             ,false
                                44 ,19f0dd98-1fda-45df-872e-c34954ad0561 ,Check if I'm standing on a red surface                                                                       ,false
                                45 ,19f0dd98-1fda-45df-872e-c34954ad0561 ,Play the tone F                                                                                              ,true
                                46 ,9411178a-c445-4f8d-81d1-92350e64ddff ,Turn my LEDs blue                                                                                            ,false
                                47 ,9411178a-c445-4f8d-81d1-92350e64ddff ,Play the tone G                                                                                              ,true
                                48 ,9411178a-c445-4f8d-81d1-92350e64ddff ,Play the tone F                                                                                              ,false
                                49 ,5602f091-e8fa-43b8-94ed-4bbfc8641b63 ,Moves forward for 2 seconds at 80% speed                                                                     ,true
                                50 ,5602f091-e8fa-43b8-94ed-4bbfc8641b63 ,Rotates counterclockwise 80 degrees                                                                          ,false
                                51 ,5602f091-e8fa-43b8-94ed-4bbfc8641b63 ,Moves forward 2 inches                                                                                       ,false
                                52 ,3d8e1d83-21cf-4db0-9b16-4c14ea4d1120 ,"Pip drives the same distance, but at a higher speed"                                                        ,true
                                53 ,3d8e1d83-21cf-4db0-9b16-4c14ea4d1120 ,Pip drives farther                                                                                           ,false
                                54 ,3d8e1d83-21cf-4db0-9b16-4c14ea4d1120 ,Pip rotates in place                                                                                         ,false
                                55 ,27b3f990-b244-4fb2-907b-8dccb209d4f9 ,Pauses program for one second                                                                                ,true
                                56 ,27b3f990-b244-4fb2-907b-8dccb209d4f9 ,Reduces motor power for one second                                                                           ,false
                                57 ,27b3f990-b244-4fb2-907b-8dccb209d4f9 ,Increases LED brightness                                                                                     ,false
                                58 ,2c201672-a9d2-42d6-bece-d11413a31d8c ,Wait 1 second                                                                                                ,true
                                59 ,2c201672-a9d2-42d6-bece-d11413a31d8c ,Wait 0.25 seconds                                                                                            ,false
                                60 ,2c201672-a9d2-42d6-bece-d11413a31d8c ,They are the same                                                                                            ,false
                                61 ,f801004b-5cba-40db-b0d9-0d26105ad9f2 ,Moves forward for one second at 70% speed when a red object is detected                                      ,true
                                62 ,f801004b-5cba-40db-b0d9-0d26105ad9f2 ,Always moves forward                                                                                         ,false
                                63 ,f801004b-5cba-40db-b0d9-0d26105ad9f2 ,Rotates when red is detected                                                                                 ,false
                                64 ,a608c686-b0f8-45f9-9f21-d0f62edad19c ,"When a blue object is detected, Pip moves forward, activates blue LEDs, and plays tone E"                   ,true
                                65 ,a608c686-b0f8-45f9-9f21-d0f62edad19c ,Pip always plays tone E                                                                                      ,false
                                66 ,a608c686-b0f8-45f9-9f21-d0f62edad19c ,Pip rotates and flashes red                                                                                  ,false
                                67 ,48fea215-68b2-49a7-8f17-e18a660f83b3 ,"Turns LEDs yellow, plays tone G, and moves forward at 60% speed for one second"                             ,true
                                68 ,48fea215-68b2-49a7-8f17-e18a660f83b3 ,Plays only tone G                                                                                            ,false
                                69 ,48fea215-68b2-49a7-8f17-e18a660f83b3 ,Turns LEDs off immediately                                                                                   ,false
                                70 ,3bf9d0df-31c2-4db4-bdd5-ffd48c010039 ,"Moves forward, activates blue LEDs, and plays tone E"                                                       ,true
                                71 ,3bf9d0df-31c2-4db4-bdd5-ffd48c010039 ,Rotates counterclockwise                                                                                     ,false
                                72 ,3bf9d0df-31c2-4db4-bdd5-ffd48c010039 ,Stops all motors                                                                                             ,false
                                73 ,1adeff1a-413b-421b-90e5-18eed32a7cf1 ,Executes alternating clockwise and counterclockwise rotations                                                ,true
                                74 ,1adeff1a-413b-421b-90e5-18eed32a7cf1 ,Moves forward twice                                                                                          ,false
                                75 ,1adeff1a-413b-421b-90e5-18eed32a7cf1 ,Plays two short tones                                                                                        ,false
                                76 ,0b283d11-4a61-4dd0-ab78-ef01bb2cab4b ,Alternates forward and backward motion at regular intervals                                                  ,true
                                77 ,0b283d11-4a61-4dd0-ab78-ef01bb2cab4b ,Rotates in place twice                                                                                       ,false
                                78 ,0b283d11-4a61-4dd0-ab78-ef01bb2cab4b ,Flashes LEDs                                                                                                 ,false
                                79 ,d99dfd76-b88a-4b52-96f0-5b8d8846bcdc ,"Moves forward, rotates counterclockwise, and repeats this motion pattern"                                   ,true
                                80 ,d99dfd76-b88a-4b52-96f0-5b8d8846bcdc ,Moves forward once and stops                                                                                 ,false
                                81 ,d99dfd76-b88a-4b52-96f0-5b8d8846bcdc ,Flashes LEDs without motion                                                                                  ,false
                                82 ,ee124825-a425-4e9a-b101-cafb6f7f89bf ,Turns LEDs green when button is pressed                                                                      ,false
                                83 ,ee124825-a425-4e9a-b101-cafb6f7f89bf ,Turns LEDs white when button is pressed                                                                      ,true
                                84 ,ee124825-a425-4e9a-b101-cafb6f7f89bf ,Turns LEDs off when button is pressed                                                                        ,false
                                85 ,b415eb9f-562c-41e0-8a58-15796ca6a5b2 ,Makes Pip move forward forever at 50% speed                                                                  ,false
                                86 ,b415eb9f-562c-41e0-8a58-15796ca6a5b2 ,Makes Pip move forward 10 inches at 50% speed                                                                ,true
                                87 ,b415eb9f-562c-41e0-8a58-15796ca6a5b2 ,Makes Pip move forward for 10 seconds at 50% speed                                                           ,false
                                88 ,824a13c5-a07c-4100-87a9-93bb58ce9eb9 ,"The top block drives 5 inches, then stops. The bottom block drives forever"                                 ,false
                                89 ,824a13c5-a07c-4100-87a9-93bb58ce9eb9 ,"The top block drives forward until told to stop. The bottom block drives 5 inches then stops"               ,true
                                90 ,824a13c5-a07c-4100-87a9-93bb58ce9eb9 ,They do the same thing                                                                                       ,false
                                91 ,914f3efc-530e-495f-abf9-9608eeca06e9 ,If there's any object in front of Pip                                                                        ,false
                                92 ,914f3efc-530e-495f-abf9-9608eeca06e9 ,If there's an object less than 5 inches from Pip                                                             ,true
                                93 ,914f3efc-530e-495f-abf9-9608eeca06e9 ,If there's an object more than 5 inches from Pip                                                             ,false
                                94 ,4c5ebb77-93b5-4f6b-bd6e-91eee012f828 ,Checks if object is exactly 10 inches away                                                                   ,false
                                95 ,4c5ebb77-93b5-4f6b-bd6e-91eee012f828 ,Checks if object is less than 10 inches away                                                                 ,false
                                96 ,4c5ebb77-93b5-4f6b-bd6e-91eee012f828 ,Checks if object is more than 10 inches away                                                                 ,true
                                97 ,c31a671b-b8b7-4b4f-bc28-67d8a7f988e8 ,Pip drives forward 25 inches                                                                                 ,false
                                98 ,c31a671b-b8b7-4b4f-bc28-67d8a7f988e8 ,"Pip drives forward at 25% speed for 2 seconds, then stops"                                                  ,true
                                99 ,c31a671b-b8b7-4b4f-bc28-67d8a7f988e8 ,Pip drives forward 2 inches at 25% speed                                                                     ,false
                               100 ,55dfd180-2374-4c17-b0d2-bc0d7a1abea4 ,"Turns LEDs red if object is within 3 inches, blue if between 3-8 inches, off if farther than 8 inches"      ,true
                               101 ,55dfd180-2374-4c17-b0d2-bc0d7a1abea4 ,"Turns LEDs red if object is exactly 3 inches away, blue if exactly 8 inches away"                           ,false
                               102 ,55dfd180-2374-4c17-b0d2-bc0d7a1abea4 ,"Turns LEDs blue for any object, red only if within 3 inches"                                                ,false
