fill_in_the_blank_block_bank_id ,fill_in_the_blank_id                 ,block_name_id
                              1 ,b06f8967-6807-45a5-978d-ba40fc859af9 ,            2
                              2 ,b06f8967-6807-45a5-978d-ba40fc859af9 ,           35
                              4 ,ee79d412-4992-4c45-9cda-c241427e31d9 ,            2
                              5 ,ee79d412-4992-4c45-9cda-c241427e31d9 ,           37
                              6 ,ee79d412-4992-4c45-9cda-c241427e31d9 ,           11
                              7 ,83f52273-c4e9-43de-8a08-76d14de7b1d9 ,            2
                              8 ,83f52273-c4e9-43de-8a08-76d14de7b1d9 ,           35
                              9 ,83f52273-c4e9-43de-8a08-76d14de7b1d9 ,           37
                             10 ,ae676256-538b-4859-9f7c-87353977f4da ,           31
                             11 ,d3226479-98d4-402d-89b0-f901b45a7b35 ,           26
                             13 ,d3226479-98d4-402d-89b0-f901b45a7b35 ,           22
                             14 ,696c0bdf-d52b-4842-823d-f89090974254 ,           23
                             15 ,696c0bdf-d52b-4842-823d-f89090974254 ,           35
                             16 ,696c0bdf-d52b-4842-823d-f89090974254 ,           37
                             17 ,38c66878-5aad-476e-8b65-30e9f7620c49 ,           23
                             18 ,38c66878-5aad-476e-8b65-30e9f7620c49 ,           35
                             19 ,38c66878-5aad-476e-8b65-30e9f7620c49 ,           24
                             21 ,38c66878-5aad-476e-8b65-30e9f7620c49 ,           26
                             23 ,38c66878-5aad-476e-8b65-30e9f7620c49 ,           28
                             25 ,38c66878-5aad-476e-8b65-30e9f7620c49 ,           30
                             26 ,38c66878-5aad-476e-8b65-30e9f7620c49 ,           31
                             27 ,38c66878-5aad-476e-8b65-30e9f7620c49 ,            2
                             28 ,38c66878-5aad-476e-8b65-30e9f7620c49 ,            13
                             29 ,696c0bdf-d52b-4842-823d-f89090974254 ,           13
