question_id                          ,question_text
a47236da-74c8-49a9-89a1-958beb09bbbd, How would I turn my LEDs red?
21d180d5-0824-4bd3-9668-050821a79dfa, How would I turn my LEDs green?
2fb40077-6755-4a18-8d97-0714c146925c, How would I turn my LEDs blue?
1ad41a4c-a18f-4782-b282-aae30c9f7775, How would I turn my LEDs white?
3116f038-4e86-45cd-a751-6057f59b8325, How would I turn my LEDs off?
e0861600-9715-42e9-bbea-e0e44886b323, How would I check if I'm standing on something red?
6c473ee8-7545-4145-ab0f-e85656fd1730, How would I check if I'm standing on something green?
543ebabb-e34b-4373-8f66-c241c2b58e59, How would I check if I'm standing on something blue?
175595ce-6356-42b2-84c5-1bcf726c333c, How would I check if I'm standing on something white?
7d87605c-0e06-4539-a5db-f86e4716da44, How would Pip play the tone A?
fe4da357-9a8f-4d0c-a9ab-08eab566bbc8, How would Pip play the tone B?
24aec295-25e7-46d7-90ea-97d79e77481c, How would Pip play the tone C?
3ee60331-76da-4424-b944-a90de9fc839d, How would Pip play the tone D?
3301937c-30b6-4e00-81dd-caa81f9f9988, How would Pip play the tone E?
caa2d278-c43f-47fd-b9ef-040d02ec0c41, How would Pip play the tone F?
2bde835b-1600-4063-990a-6313e554cc53, How would Pip play the tone G?
c7a0cbdb-0200-4397-be43-5bcc2550b6db, Which block makes Pip go forward 10 inches at 50% speed?
9811a2bd-a9ab-432f-928c-6cbe97a48ce1, Which block makes Pip rotate 90 degrees clockwise?
e4179c4c-678c-4cef-b411-c85bfdfbe9d6, Which block makes Pip stop all motor movement immediately?
ef56915e-2a28-422a-9d8d-0f6446240943, Which block makes Pip wait for half a second?
a9b39e82-f9d2-483a-980d-cdd7db549dda, Which block sequence makes Pip move forward with a consistent interval?
9b050c13-dc10-4f5d-89c1-06bef650318e, "Which block sequence makes Pip move forward for one second, then pause?"
3ba6459b-ab67-4976-9614-813c9731a3ab, Which block makes Pip check whether the detected object is blue?
cf20a68e-911b-44ac-8625-d677d68054b0, Which block makes Pip rotate 90 degrees clockwise when it detects a yellow object?
fd12a8a2-eaf7-4fcb-bdb0-a031e9508a84, Which block makes Pip play tone G?
f0b61781-3b69-4aee-b75e-d45eae553c1b, "Which order synchronizes Pip's LED, tone, and motion outputs?"
336d9cd0-7971-46b6-855f-414ce0d5fc35, Which block handles cases when no color condition is detected?
ced17917-9f2d-4788-be0b-db08debef5fa, Which sequence makes Pip alternate between left and right rotations at regular intervals?
92c36e07-d93b-4a02-b556-be07b789cf5e, Which block makes Pip drive a short distance at low speed?
46de05b0-9d31-41f1-9c40-547c2636bd77, Which block sequence makes Pip execute a repeating motion pattern?
