matching_answer_choice_text_id ,answer_choice_text
                             1 ,Turns LEDs red
                             2 ,Pauses for 2 seconds
                             3 ,Detects objects on the right side
                             4 ,Detects objects on the left side
                             5 ,Stops all motors
                             9 ,Drives forward for 10 seconds at 50% speed
                            10 ,Checks if right button is being pressed
                            11 ,Measures distance in inches from the front
                            13 ,Checks for blue objects below Pip
                            14, Drives forward continuously at 50% speed
                            15, Spins clockwise continuously at 30% speed
                            16, Moves backward for 1 second at 30% speed
                            17, Turns 90 degrees counterclockwise
