reading_question_answer_choice_id ,reading_question_id ,answer_text                                                                 ,is_correct ,explanation
                                1 ,                  1 ,"A parking lot full of cars"                                                ,true       ,"Correct. The N-layer has an abundance of free electrons, like a parking lot full of cars. The dopant atoms provide extra electrons that can move through the material."
                                2 ,                  1 ,"An empty parking lot"                                                      ,false      ,"Incorrect. An empty parking lot would represent a P-layer, which has a shortage of electrons. The N-layer has an abundance of electrons, not a shortage."
                                3 ,                  1 ,"A traffic light"                                                           ,false      ,"Incorrect. While a traffic light controls flow, the N-layer is characterized by having extra electrons, not by controlling their movement. It's more like a storage area for excess electrons."
                                4 ,                  1 ,"A solar panel"                                                             ,false      ,"Incorrect. A solar panel converts light to electrical energy, unlike the N-layer's function. The N-layer is a region with extra electrons, similar to a parking lot with many available cars."
                                5 ,                  2 ,"Electrons move randomly between layers with no energy release"             ,false      ,"Incorrect. Electron movement in an LED is directional (N-layer to P-layer) and releases energy in the form of light."
                                6 ,                  2 ,"Electrons fall from the N-layer to the P-layer, releasing energy as light" ,true       ,"Correct. Electrons move from the N-layer to the P-layer, and when they recombine with holes, they release energy as photons of light."
                                7 ,                  2 ,"Holes move up from the P-layer to the N-layer"                             ,false      ,"Incorrect. Holes stay in the P-layer while electrons move from the N-layer to fill them, not the other way around."
                                8 ,                  2 ,"Electrons and holes repel each other, creating heat"                       ,false      ,"Incorrect. Electrons and holes attract rather than repel, and their recombination produces light, not primarily heat."
                                9 ,                  3 ,"The water at the bottom of the cliff"                                      ,false      ,"Incorrect. The water at the bottom represents electrons that have already moved to the P-layer, not the voltage that drives them."
                               10 ,                  3 ,"The height of the cliff"                                                   ,false      ,"Incorrect. The cliff height represents the energy gap between layers, not the voltage applied to move electrons."
                               11 ,                  3 ,"The force pushing water over the edge"                                     ,true       ,"Correct. Voltage acts as the force that pushes electrons from the N-layer to the P-layer, just like a force pushing water over the cliff."
                               12 ,                  3 ,"The speed of the falling water"                                            ,false      ,"Incorrect. The water's speed is a result of the force applied, not the force itself, just as electron flow is a result of voltage."
                               13 ,                  4 ,"(0, 0, 255)"                                                               ,true       ,"Correct. In RGB color coding, blue uses 0 for red, 0 for green, and 255 for blue, creating pure blue light."
                               14 ,                  4 ,"(255, 0, 0)"                                                               ,false      ,"Incorrect. This is the RGB code for red. Blue requires the third value (B) to be 255 while others are 0."
                               15 ,                  4 ,"(0, 255, 0)"                                                               ,false      ,"Incorrect. This is the RGB code for green. Blue requires the third value (B) to be 255 while others are 0."
                               16 ,                  4 ,"(255, 255, 0)"                                                             ,false      ,"Incorrect. This RGB code creates yellow by combining red and green. Blue requires only the third value to be 255."
                               17 ,                  5 ,"Red and Blue"                                                              ,false      ,"Incorrect. Red and blue light combine to create magenta, not yellow."
                               18 ,                  5 ,"Red and Green"                                                             ,true       ,"Correct. In RGB color mixing, red and green light combine to create yellow. This is why yellow's RGB code is (255, 255, 0)."
                               19 ,                  5 ,"Blue and Green"                                                            ,false      ,"Incorrect. Blue and green light combine to create cyan, not yellow."
                               20 ,                  5 ,"All three colors"                                                          ,false      ,"Incorrect. Combining red, green, and blue light at full intensity creates white, not yellow."
                               21 ,                  6 ,"Increase all values"                                                       ,false      ,"Incorrect. Increasing RGB values makes colors brighter by adding more light intensity."
